epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.717,1.75804,3.7186,1.40168,0.01229,0.51685,0.1033,0.04105,1.41271,3.63495,1.19564,8.335e-05,8.335e-05,8.335e-05
2,192.975,1.67876,3.08444,1.27736,0.01942,0.74292,0.32927,0.16542,1.38684,3.40997,1.13046,0.000179739,0.000179739,0.000179739
3,277.548,1.65453,1.92796,1.21529,0.99362,0.15797,0.41723,0.22631,1.49123,3.03194,1.09673,0.000272168,0.000272168,0.000272168
4,356.055,1.58076,1.63971,1.22534,0.98965,0.19311,0.42638,0.24874,1.39927,2.97902,1.06517,0.000360635,0.000360635,0.000360635
5,431.869,1.47751,1.6158,1.18177,0.98282,0.22936,0.43439,0.25797,1.40212,2.81489,1.08251,0.000445142,0.000445142,0.000445142
6,506.859,1.5583,1.48766,1.21601,0.95011,0.36827,0.45817,0.26735,1.44825,2.6196,1.10923,0.000525688,0.000525688,0.000525688
7,586.572,1.45171,1.3377,1.1258,0.90264,0.33265,0.57802,0.32103,1.47248,2.6604,1.13426,0.000602274,0.000602274,0.000602274
8,661.975,1.53584,1.29589,1.15017,0.8749,0.37919,0.62532,0.34075,1.51345,2.52541,1.13246,0.000674898,0.000674898,0.000674898
9,740.58,1.38629,1.28854,1.13675,0.92631,0.37143,0.57075,0.33359,1.44268,2.5382,1.12641,0.000743562,0.000743562,0.000743562
10,815.619,1.43713,1.25898,1.13948,0.92864,0.40408,0.60869,0.35641,1.51373,2.38704,1.15488,0.000808265,0.000808265,0.000808265
11,890.417,1.43072,1.26335,1.16027,0.94314,0.39796,0.55408,0.33032,1.38833,2.53955,1.11333,0.000869007,0.000869007,0.000869007
12,993.093,1.44279,1.28093,1.15273,0.93733,0.43265,0.65031,0.38457,1.40442,2.30691,1.1125,0.000925788,0.000925788,0.000925788
13,1069.58,1.42521,1.17008,1.15041,0.80934,0.45348,0.67956,0.39115,1.44769,2.11764,1.12969,0.000978609,0.000978609,0.000978609
14,1144.29,1.45919,1.17278,1.14933,0.94028,0.37613,0.69156,0.39064,1.41623,2.19574,1.12491,0.00102747,0.00102747,0.00102747
15,1217.96,1.35323,1.1094,1.1107,0.95856,0.35714,0.71201,0.40644,1.43573,2.13293,1.13388,0.00107237,0.00107237,0.00107237
16,1298.99,1.39682,1.15257,1.12004,0.61077,0.56292,0.75695,0.4341,1.39295,1.90669,1.133,0.00111331,0.00111331,0.00111331
17,1375.92,1.42454,1.17303,1.15079,0.60738,0.55886,0.7452,0.42141,1.40915,1.92816,1.14154,0.00113889,0.00113889,0.00113889
