epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1423,1.73156,3.54698,1.35577,0.01685,0.67964,0.30027,0.1519,1.38604,3.48535,1.1237,0.00015003,0.00015003,0.00015003
2,125.951,1.61086,2.011,1.21306,0.94322,0.31266,0.38891,0.21254,1.50784,2.96721,1.09929,0.000310459,0.000310459,0.000310459
3,243.498,1.54864,1.51851,1.18444,0.96736,0.24046,0.40649,0.23638,1.42819,2.81608,1.09487,0.000464286,0.000464286,0.000464286
4,299.832,1.50405,1.4874,1.21077,0.91986,0.39018,0.48425,0.28185,1.45814,2.46999,1.09655,0.000611512,0.000611512,0.000611512
5,359.19,1.51849,1.41594,1.18204,0.88703,0.36047,0.57891,0.30923,1.4888,2.53826,1.13202,0.000752137,0.000752137,0.000752137
6,434.253,1.4923,1.36623,1.1663,0.89007,0.38049,0.63583,0.36745,1.46122,2.34793,1.10033,0.000886161,0.000886161,0.000886161
7,512.315,1.51563,1.33872,1.18643,0.78505,0.43246,0.68714,0.37796,1.45698,2.3123,1.10351,0.00101358,0.00101358,0.00101358
8,599.96,1.50787,1.34668,1.17971,0.61019,0.50093,0.67551,0.38007,1.42325,2.08698,1.12549,0.0011344,0.0011344,0.0011344
9,664.986,1.51089,1.25875,1.16638,0.7279,0.51105,0.68765,0.37541,1.50116,2.05771,1.15164,0.00124862,0.00124862,0.00124862
10,721.84,1.43906,1.25673,1.17492,0.72347,0.6459,0.75415,0.40932,1.50767,1.65699,1.14934,0.00135624,0.00135624,0.00135624
11,779.273,1.44162,1.2093,1.16601,0.77762,0.76773,0.81133,0.46802,1.40407,1.38218,1.13344,0.00133693,0.00133693,0.00133693
12,836.144,1.42965,1.16764,1.16539,0.75033,0.73468,0.77826,0.44352,1.41363,1.53536,1.13926,0.00130393,0.00130393,0.00130393
13,893.218,1.41806,1.17222,1.14193,0.76643,0.76371,0.80853,0.4776,1.39451,1.30744,1.1268,0.00127092,0.00127092,0.00127092
14,950.377,1.41783,1.14628,1.161,0.78794,0.82129,0.84044,0.50136,1.37727,1.23179,1.10525,0.00123791,0.00123791,0.00123791
15,1007.47,1.44415,1.15309,1.15662,0.80041,0.81352,0.84482,0.50114,1.38133,1.15971,1.11991,0.00120491,0.00120491,0.00120491
16,1064.84,1.39652,1.11926,1.15661,0.82719,0.80733,0.85678,0.52182,1.32546,1.07791,1.12692,0.0011719,0.0011719,0.0011719
17,1120.92,1.35476,1.03463,1.12374,0.8287,0.79198,0.84697,0.51639,1.32586,1.1124,1.12966,0.00113889,0.00113889,0.00113889
18,1177.16,1.3984,1.0376,1.1498,0.81247,0.83704,0.84321,0.51397,1.31661,1.07123,1.10522,0.00110589,0.00110589,0.00110589
19,1233.33,1.35384,1.03891,1.11917,0.79167,0.85233,0.85068,0.52034,1.31615,1.04977,1.11469,0.00107288,0.00107288,0.00107288
20,1289.33,1.37705,1.05188,1.15577,0.79456,0.85079,0.87042,0.55543,1.27024,1.01386,1.08453,0.00103987,0.00103987,0.00103987
21,1345.67,1.32092,0.99349,1.11517,0.81768,0.85573,0.87198,0.54801,1.26435,0.98394,1.0837,0.00100687,0.00100687,0.00100687
22,1401.81,1.30676,0.97298,1.10585,0.79822,0.8523,0.86608,0.54654,1.25461,1.03803,1.07895,0.000973861,0.000973861,0.000973861
23,1457.3,1.31482,0.98332,1.1033,0.85427,0.84195,0.8745,0.5598,1.25936,0.99793,1.06383,0.000940855,0.000940855,0.000940855
24,1511.72,1.31113,0.95458,1.10542,0.82616,0.84395,0.87396,0.55165,1.24422,0.96736,1.05829,0.000907848,0.000907848,0.000907848
25,1565.15,1.31651,0.95631,1.11447,0.79989,0.8399,0.87229,0.5519,1.23926,0.96531,1.05616,0.000874842,0.000874842,0.000874842
26,1618.79,1.31151,0.97842,1.12567,0.82409,0.85956,0.87364,0.56246,1.22631,0.94051,1.05158,0.000841835,0.000841835,0.000841835
27,1671.85,1.29147,0.93402,1.10837,0.83633,0.86021,0.88833,0.56436,1.23679,0.90385,1.05704,0.000808828,0.000808828,0.000808828
28,1725.28,1.24599,0.9047,1.10068,0.8376,0.88409,0.89104,0.58121,1.20531,0.85604,1.04184,0.000775822,0.000775822,0.000775822
29,1782.62,1.24626,0.90978,1.09983,0.83782,0.88106,0.89972,0.58265,1.23809,0.86088,1.0549,0.000742815,0.000742815,0.000742815
30,1835.72,1.28968,0.92393,1.10207,0.8545,0.87476,0.90538,0.59462,1.21431,0.88294,1.05065,0.000709809,0.000709809,0.000709809
31,2275.78,1.29293,0.88622,1.08815,0.85032,0.87976,0.89686,0.58384,1.21454,0.87101,1.05824,0.000676802,0.000676802,0.000676802
